City,State,FAA,IATA,ICAO,Airport,Role,Enplanements
Providence / Warwick,Rhode Island,PVD,PVD,KPVD,Theodore Francis Green State Airport,P-S,"1,803,000"
Westerly,Rhode Island,WST,WST,KWST,Westerly State Airport,P-N,"17,218"
Charleston,South Carolina,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-S,"1,811,695"
Columbia,South Carolina,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,"553,658"
Florence,South Carolina,FLO,FLO,KFLO,Florence Regional Airport,P-N,"45,300"
Greenville,South Carolina,GSP,GSP,KGSP,Greenville-Spartanburg International Airport (Roger Milliken Field),P-S,"991,276"
Hilton Head Island,South Carolina,HXD,HHH,KHXD,Hilton Head Airport,P-N,"30,956"
Myrtle Beach,South Carolina,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,"944,849"
Aberdeen,South Dakota,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,"26,529"
Rapid City,South Dakota,RAP,RAP,KRAP,Rapid City Regional Airport,P-N,"272,537"
Sioux Falls,South Dakota,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,"510,105"
Bristol / Johnson City / Kingsport,Tennessee,TRI,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA),P-N,"204,926"
Chattanooga,Tennessee,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-N,"422,442"
Knoxville,Tennessee,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,"887,103"
Memphis,Tennessee,MEM,MEM,KMEM,Memphis International Airport,P-S,"2,016,089"
Nashville,Tennessee,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,"6,338,517"
Abilene,Texas,ABI,ABI,KABI,Abilene Regional Airport,P-N,"84,809"
Amarillo,Texas,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,"334,815"
Austin,Texas,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-M,"6,095,545"
Beaumont / Port Arthur,Texas,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,"26,518"
Brownsville,Texas,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,"120,151"
College Station,Texas,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field),P-N,"78,907"
Corpus Christi / Kingsville,Texas,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,"325,815"
Dallas,Texas,DAL,DAL,KDAL,Dallas Love Field,P-M,"7,554,596"
Dallas-Fort Worth,Texas,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,"31,283,579"
El Paso,Texas,ELP,ELP,KELP,El Paso International Airport,P-M,"1,414,376"
Fort Hood / Killeen / Temple,Texas,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,"157,161"
Harlingen,Texas,HRL,HRL,KHRL,Valley International Airport,P-N,"263,760"
Houston,Texas,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,"20,062,072"
Houston,Texas,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"6,285,181"
Laredo,Texas,LRD,LRD,KLRD,Laredo International Airport,P-N,"101,115"
Longview,Texas,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"22,480"
Lubbock,Texas,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"448,093"
McAllen,Texas,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,"355,224"
Midland,Texas,MAF,MAF,KMAF,Midland International Airport,P-S,"471,490"
San Angelo,Texas,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"60,277"
San Antonio,Texas,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,179,994"
Tyler,Texas,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"52,494"
Waco,Texas,ACT,ACT,KACT,Waco Regional Airport,P-N,"64,356"
Wichita Falls,Texas,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,"40,165"
Cedar City,Utah,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,"14,413"
Ogden,Utah,OGD,OGD,KOGD,Ogden-Hinckley Airport,P-N,"15,609"
Provo,Utah,PVU,PVU,KPVU,Provo Municipal Airport,P-N,"78,451"
Salt Lake City,Utah,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"11,143,738"
St. George,Utah,SGU,SGU,KSGU,St. George Regional Airport (opened 2011),P-N [nb 3],"78,680"
Burlington,Vermont,BTV,BTV,KBTV,Burlington International Airport,P-S,"593,311"
Charlottesville,Virginia,CHO,CHO,KCHO,Charlottesville¡VAlbemarle Airport,P-N,"295,930"
Lynchburg,Virginia,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"75,465"
Newport News,Virginia,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,"199,421"
Norfolk,Virginia,ORF,ORF,KORF,Norfolk International Airport,P-S,"1,602,631"
Richmond,Virginia,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"1,777,648"
Roanoke,Virginia,ROA,ROA,KROA,Roanoke Regional Airport (Woodrum Field),P-N,"305,212"
"Washington, D.C. / Arlington County",Virginia,DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,470,854"
"Washington, D.C. / Dulles / Chantilly",Virginia,IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"10,596,942"
Bellingham,Washington,BLI,BLI,KBLI,Bellingham International Airport,P-S,"415,285"
Friday Harbor,Washington,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,831"
Pasco,Washington,PSC,PSC,KPSC,Tri-Cities Airport,P-N,"374,301"
"Pullman / Moscow, Idaho",Washington,PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,"61,833"
Seattle,Washington,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"17,795"
Seattle / Tacoma (SeaTac),Washington,SEA,SEA,KSEA,Seattle¡VTacoma International Airport,P-L,"21,887,110"
Spokane,Washington,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"1,570,652"
Walla Walla,Washington,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"47,439"
Wenatchee,Washington,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"60,068"
Yakima,Washington,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"70,993"
Bridgeport,West Virginia,CKB,KCKB,CKB,North Central West Virginia Airport,P-S,"10,694"
Charleston,West Virginia,CRW,CRW,KCRW,Yeager Airport,P-N,"213,412"
Clarksburg,West Virginia,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"26,025"
Huntington,West Virginia,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"98,489"
Morgantown,West Virginia,MGW,MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),P-N,"7,851"
Appleton,Wisconsin,ATW,ATW,KATW,Appleton International Airport,P-N,"692,000"
Eau Claire,Wisconsin,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"21,304"
Green Bay,Wisconsin,GRB,GRB,KGRB,Green Bay¡VAustin Straubel International Airport,P-N,"292,868"
La Crosse,Wisconsin,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"94,047"
Madison,Wisconsin,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"903,155"
Milwaukee,Wisconsin,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,327,536"
Mosinee,Wisconsin,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"119,222"
Rhinelander,Wisconsin,RHI,RHI,KRHI,Rhinelander¡VOneida County Airport,P-N,"20,414"
Casper,Wyoming,CPR,CPR,KCPR,Casper/Natrona County International Airport,P-N,"92,805"
Cody,Wyoming,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"40,340"
Gillette,Wyoming,GCC,GCC,KGCC,Gillette¡VCampbell County Airport,P-N,"28,383"
Jackson,Wyoming,JAC,JAC,KJAC,Jackson Hole Airport,P-N,"342,044"
Laramie,Wyoming,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"15,957"
Rock Springs,Wyoming,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs¡VSweetwater County Airport),P-N,"16,110"
"Pago Pago, Tutuila",American Samoa,PPG,PPG,NSTU,Pago Pago International Airport,P-N,"65,439"
Agana / Tamuning,Guam,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-S,"1,444,299"
"Obyan, Saipan Island",Northern Marianas,GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-S,"430,275"
Rota Island,Northern Marianas,GRO,ROP,PGRO,Rota International Airport,P-N,"19,178"
Tinian Island,Northern Marianas,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,"38,452"
Aguadilla,Puerto Rico,BQN,BQN,TJBQ,Rafael Hern_ndez International Airport,P-N,"257,871"
Ceiba,Puerto Rico,RVR,NRR,TJRV,Jos_ Aponte de la Torre Airport,P-N,"43,005"
Culebra,Puerto Rico,CPX,CPX,TJCP,Benjam_n Rivera Noriega Airport,P-N,"31,141"
Ponce,Puerto Rico,PSE,PSE,TJPS,Mercedita International Airport,P-N,"105,804"
San Juan / Carolina,Puerto Rico,SJU,SJU,TJSJ,Luis Mu_oz Mar_n International Airport,P-M,"4,343,354"
San Juan / Miramar,Puerto Rico,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,"24,054"
Vieques,Puerto Rico,VQS,VQS,TJVQ,Antonio Rivera Rodr_guez Airport,P-N,"63,104"
"Charlotte Amalie, St. Thomas",U.S. Virgin Islands,STT,STT,TIST,Cyril E. King Airport,P-S,"729,382"
"Christiansted, St. Croix",U.S. Virgin Islands,STX,STX,TISX,Henry E. Rohlsen Airport,P-N,"196,047"
